"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova"
"KN";"KGECO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KCHIS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"20";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KCHKS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"40";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KCHIO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KINTS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"20";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KINTO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"R";"ZR";"REK";"Univerzita Pardubice";"8";"Jiná";"1";"ne";"1.1.1990";"";"";"85.0";"";"";"3";"Pardubice";"Studentská";" 95";"Studentská,95, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=R";"031003023";""
"KN";"KKARS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"CA";"ZV";"FEI";"Fakulta elektrotechniky a informatiky";"8";"Jiná";"38";"ne";"1.1.1990";"";"místnost è.: 02009";"108.0";"";"";"2";"Pardubice";"nám. Ès. legií";" 565";"nám. Ès. legií,565, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CA";"010202009";""
"UK";"PU";"REK";"Univerzita Pardubice";"3";"Uèebna poèítaèová";"15";"ne";"1.1.1990";"";"";"41.0";"";"";"0";"Pardubice";"Studentská";" 519";"Studentská,519, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=UK";"032801017";""
"KN";"KKARO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KNEUS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"25";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KNEUO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KNUTZ";"FZS";"Fakulta zdravotnických studií";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KNUTO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KRDGS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"25";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KRDGO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KORLS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"15";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KORLO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KOROO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KOROZ";"FZS";"Fakulta zdravotnických studií";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KPGS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"30";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KPGO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KRHBO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KRHBS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"4";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KNPMP";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"28";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KNPVP";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"73";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"ZA";"1";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"38";"ne";"1.1.1990";"";"";"61.0";"";"";"-1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020100003";""
"ZA";"10";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"15";"ne";"1.1.1990";"";"";"81.0";"";"";"0";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020101014";""
"ZA";"13";"FZS";"Fakulta zdravotnických studií";"5";"Laboratoø";"15";"ne";"1.1.1990";"";"";"63.0";"";"";"1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020102009";""
"ZA";"14";"FZS";"Fakulta zdravotnických studií";"1";"Posluchárna";"81";"ne";"1.1.1990";"";"";"81.0";"";"";"1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020102012";""
"ZA";"15";"FZS";"Fakulta zdravotnických studií";"5";"Laboratoø";"20";"ne";"1.1.1990";"";"";"61.0";"";"";"2";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020103003";""
"ZA";"16";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"20";"ne";"1.1.1990";"";"";"63.0";"";"";"2";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020103004";""
"ZA";"17";"FZS";"Fakulta zdravotnických studií";"4";"Uèebna jazyková";"24";"ne";"1.1.1990";"";"";"42.0";"";"";"2";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020103008";""
"ZA";"18";"FZS";"Fakulta zdravotnických studií";"4";"Uèebna jazyková";"20";"ne";"1.1.1990";"";"";"40.0";"";"";"2";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020103009";""
"ZA";"2";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"38";"ne";"1.1.1990";"";"";"63.0";"";"";"-1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020100004";""
"ZA";"3";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"38";"ne";"1.1.1990";"";"";"63.0";"";"";"-1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020100005";""
"ZA";"4";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"38";"ne";"1.1.1990";"";"";"65.0";"";"";"-1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020100006";""
"ZA";"5";"FZS";"Fakulta zdravotnických studií";"5";"Laboratoø";"10";"ne";"1.1.1990";"";"";"62.0";"";"";"-1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020100008";""
"ZA";"6";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"90";"ne";"1.1.1990";"";"";"103.0";"";"";"-1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020100010";""
"ZA";"7";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"30";"ne";"1.1.1990";"";"";"63.0";"";"";"0";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020101008";""
"ZA";"8";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"30";"ne";"1.1.1990";"";"";"63.0";"";"";"0";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020101009";""
"ZA";"9";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"30";"ne";"1.1.1990";"";"";"65.0";"";"";"0";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020101010";""
"ZA";"21";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"30";"ne";"1.1.1990";"";"";"61.0";"";"";"0";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZA";"020101007";""
"ZB";"20";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"18";"ne";"1.1.1990";"";"";"43.0";"";"";"1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZB";"020202011";""
"ZC";"22";"FZS";"Fakulta zdravotnických studií";"3";"Uèebna poèítaèová";"22";"ne";"1.1.1990";"";"";"43.0";"";"";"0";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZC";"020301034";""
"ZC";"23";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"64";"ne";"1.1.1990";"";"";"109.0";"";"";"2";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZC";"020303002";""
"CF";"SLUEC";"UECHI";"Ústav environmentálního a chemického inženýrství";"5";"Laboratoø";"30";"ne";"1.1.1990";"";"";"107.0";"";"";"0";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CF";"050201015";""
"HA";"C2";"FCH";"Fakulta chemicko-technologická";"1";"Posluchárna";"99";"ne";"1.1.1990";"";"";"110.0";"";"";"2";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HA";"033202035";""
"HA";"C1";"FCH";"Fakulta chemicko-technologická";"1";"Posluchárna";"234";"ne";"1.1.1990";"";"";"266.0";"";"";"2";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HA";"033202039";""
"HA";"C3";"FCH";"Fakulta chemicko-technologická";"1";"Posluchárna";"55";"ne";"1.1.1990";"";"";"61.0";"";"";"2";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HA";"033202034";""
"HA";"C4";"FCH";"Fakulta chemicko-technologická";"2";"Uèebna";"30";"ne";"1.1.1990";"";"";"61.0";"";"";"2";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HA";"033202033";""
"CC";"UKPFM";"KPF";"Katedra polygrafie a fotofyziky";"3";"Uèebna poèítaèová";"20";"ne";"1.1.1990";"";"";"35.0";"";"";"0";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050101013";""
"CC";"UKPFV";"KPF";"Katedra polygrafie a fotofyziky";"2";"Uèebna";"35";"ne";"1.1.1990";"";"";"65.0";"";"";"0";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050101030";""
"HB";"L16";"UECHI";"Ústav environmentálního a chemického inženýrství";"5";"Laboratoø";"30";"ne";"1.1.2009";"";"";"66.0";"";"01062";"1";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033001062";""
"HB";"L17";"UECHI";"Ústav environmentálního a chemického inženýrství";"5";"Laboratoø";"20";"ne";"1.1.2009";"";"";"19.0";"";"A3008";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003008";""
"UA";"Foyer1";"REK";"Univerzita Pardubice";"8";"Jiná";"70";"ne";"1.1.1990";"";"";"313.0";"";"";"2";"Pardubice";"Studentská";" 519";"Studentská,519, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=UA";"032902003";""
"UA";"FoyerS";"REK";"Univerzita Pardubice";"8";"Jiná";"50";"ne";"1.1.1990";"";"";"207.0";"";"";"0";"Pardubice";"Studentská";" 519";"Studentská,519, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=UA";"032900013";""
"UA";"FoyerP";"REK";"Univerzita Pardubice";"8";"Jiná";"90";"ne";"1.1.1990";"";"";"394.0";"";"";"1";"Pardubice";"Studentská";" 519";"Studentská,519, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=UA";"032901002";""
"HB";"L18";"UECHI";"Ústav environmentálního a chemického inženýrství";"5";"Laboratoø";"20";"ne";"1.1.2009";"";"";"20.0";"";"A3009";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003009";""
"HB";"L19";"KALCH";"Katedra analytické chemie";"5";"Laboratoø";"15";"ne";"1.1.2009";"";"";"19.0";"";"D4072";"4";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033004072";""
"HB";"L20";"KALCH";"Katedra analytické chemie";"5";"Laboratoø";"15";"ne";"1.1.2009";"";"";"20.0";"";"D4073";"4";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033004073";""
"HB";"L21";"UECHI";"Ústav environmentálního a chemického inženýrství";"5";"Laboratoø";"25";"ne";"1.1.2009";"";"";"102.0";"";"02013";"2";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033002013";""
"UA";"A8";"REK";"Univerzita Pardubice";"8";"Jiná";"20";"ano";"1.1.1990";"";"";"30.0";"";"";"2";"Pardubice";"Studentská";" 519";"Studentská,519, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=UA";"032902009";""
"CC";"201";"UOCHT";"Ústav organické chemie a technologie";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"18.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050102028";""
"CC";"UKANT";"KANT";"Katedra anorganické technologie";"2";"Uèebna";"20";"ne";"1.1.1990";"";"";"27.0";"";"";"0";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050102031";""
"CA";"02043";"KRP";"Katedra øízení procesù";"9";"Kanceláø";"1";"ne";"1.10.2011";"";"";"15.0";"";"";"2";"Pardubice";"nám. Ès. legií";" 565";"nám. Ès. legií,565, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CA";"010202043";""
"CA";"02045";"KRP";"Katedra øízení procesù";"9";"Kanceláø";"1";"ne";"1.10.2011";"";"";"16.0";"";"";"2";"Pardubice";"nám. Ès. legií";" 565";"nám. Ès. legií,565, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CA";"010202045";""
"CC";"SKTOL";"UOCHT";"Ústav organické chemie a technologie";"9";"Kanceláø";"8";"ne";"1.1.1990";"";"";"17.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050102033";""
"CC";"LKPF";"KPF";"Katedra polygrafie a fotofyziky";"5";"Laboratoø";"30";"ne";"1.1.1990";"";"";"36.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050101035";""
"CA";"02047";"KRP";"Katedra øízení procesù";"9";"Kanceláø";"1";"ne";"1.10.2011";"";"";"18.0";"";"";"2";"Pardubice";"nám. Ès. legií";" 565";"nám. Ès. legií,565, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CA";"010202047";""
"CA";"02050";"KRP";"Katedra øízení procesù";"9";"Kanceláø";"1";"ne";"1.10.2011";"";"";"16.0";"";"";"2";"Pardubice";"nám. Ès. legií";" 565";"nám. Ès. legií,565, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CA";"010202050";""
"ZD";"24";"FZS";"Fakulta zdravotnických studií";"2";"Uèebna";"15";"ne";"1.1.1990";"";"";"19.0";"";"";"1";"Pardubice";"Prùmyslová";" 395";"Prùmyslová,395, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=ZD";"020402060";""
"CF";"VLUEC";"UECHI";"Ústav environmentálního a chemického inženýrství";"5";"Laboratoø";"10";"ne";"1.1.1990";"";"";"57.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CF";"050202005";""
"CF";"TLUOZP";"UECHI";"Ústav environmentálního a chemického inženýrství";"5";"Laboratoø";"10";"ne";"1.1.1990";"";"";"36.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CF";"050202013";""
"CC";"302";"UCHTML";"Ústav chemie a technologie makromolekulárních látek";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"18.0";"";"";"2";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050103034";""
"CC";"304";"UCHTML";"Ústav chemie a technologie makromolekulárních látek";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"17.0";"";"";"2";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050103032";""
"CC";"307";"UCHTML";"Ústav chemie a technologie makromolekulárních látek";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"17.0";"";"";"2";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CC";"050103038";""
"CF";"18";"UCHTML";"Ústav chemie a technologie makromolekulárních látek";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"18.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CF";"050202024";""
"CF";"25";"UCHTML";"Ústav chemie a technologie makromolekulárních látek";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"18.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CF";"050202017";""
"KN";"ORO";"FZS";"Fakulta zdravotnických studií";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"";"";"";"1";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"HB";"C4061";"FCH";"Fakulta chemicko-technologická";"9";"Kanceláø";"1";"ne";"1.1.2009";"";"";"13.0";"";"";"4";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033004061";""
"HB";"A4018";"FCH";"Fakulta chemicko-technologická";"9";"Kanceláø";"1";"ne";"1.1.2009";"";"";"13.0";"";"";"4";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033004018";""
"CF";"211";"UECHI";"Ústav environmentálního a chemického inženýrství";"9";"Kanceláø";"1";"ne";"1.1.1990";"";"";"18.0";"";"";"1";"Pardubice";"Doubravice";" 41";"Doubravice,41, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CF";"050202007";""
"HB";"C4053";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"4";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033004053";""
"HA";"01029";"FCH";"Fakulta chemicko-technologická";"9";"Kanceláø";"1";"ne";"1.1.2009";"";"";"11.0";"";"";"1";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HA";"033201029";""
"AD";"102";"FZS";"Fakulta zdravotnických studií";"9";"Kanceláø";"20";"ne";"1.1.2004";"";"";"";"";"";"1";"Pardubice";"Masarykovo námìstí";" 1544";"Masarykovo námìstí,1544, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=AD";"";""
"HB";"B4041";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"4";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033004041";""
