"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova"
"HC";"02045";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"44.0";"";"";"2";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033102045";""
"HC";"02046";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"55.0";"";"";"2";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033102046";""
"HC";"E3006";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"39.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033103006";""
"HC";"E3008";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HC";"033103008";""
"HB";"B3026";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003026";""
"HB";"B3027";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003027";""
"HB";"B3028";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003028";""
"HB";"B3042";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003042";""
"HB";"B3043";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003043";""
"HB";"B3044";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003044";""
"HB";"C3051";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003051";""
"HB";"C3053";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003053";""
"HB";"C3054";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003054";""
"HB";"C3055";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003055";""
"HB";"C3065";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"20.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003065";""
"HB";"C3066";"FCH";"Fakulta chemicko-technologická";"5";"Laboratoø";"1";"ne";"1.1.2009";"";"";"19.0";"";"";"3";"Pardubice";"Studentská";" 573";"Studentská,573, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=HB";"033003066";""
